date,time,wind,temp_air,temp_dewpoint,precip_1hr,precip_3hr,month,datetime
11-3-2023,04:53,Calm,32,22,,,11,2023-11-03T04:53:00Z
11-3-2023,03:53,W 5,34,20,,,11,2023-11-03T03:53:00Z
11-3-2023,02:53,W 3,33,21,,,11,2023-11-03T02:53:00Z
11-3-2023,01:53,W 6,35,20,,,11,2023-11-03T01:53:00Z
11-3-2023,00:53,W 3,35,20,,,11,2023-11-03T00:53:00Z
11-2-2023,23:53,Calm,36,21,,,11,2023-11-02T23:53:00Z
11-2-2023,22:53,SW 5,42,21,,,11,2023-11-02T22:53:00Z
11-2-2023,21:53,SW 5,44,20,,,11,2023-11-02T21:53:00Z
11-2-2023,20:53,SW 5,44,21,,,11,2023-11-02T20:53:00Z
11-2-2023,19:53,S 6,44,19,,,11,2023-11-02T19:53:00Z
11-2-2023,18:53,S 5,46,18,,,11,2023-11-02T18:53:00Z
11-2-2023,17:53,S 9,50,18,,,11,2023-11-02T17:53:00Z
11-2-2023,16:53,S 8,53,18,,,11,2023-11-02T16:53:00Z
11-2-2023,15:53,S 8,54,18,,,11,2023-11-02T15:53:00Z
11-2-2023,14:53,SW 6,53,18,,,11,2023-11-02T14:53:00Z
11-2-2023,13:53,Calm,52,18,,,11,2023-11-02T13:53:00Z
11-2-2023,12:53,SW 8,50,17,,,11,2023-11-02T12:53:00Z
11-2-2023,11:53,Vrbl 6,48,18,,,11,2023-11-02T11:53:00Z
11-2-2023,10:53,S 3,46,19,,,11,2023-11-02T10:53:00Z
11-2-2023,09:53,W 3,39,22,,,11,2023-11-02T09:53:00Z
11-2-2023,08:53,W 3,33,23,,,11,2023-11-02T08:53:00Z
11-2-2023,07:53,W 3,28,20,,,11,2023-11-02T07:53:00Z
11-2-2023,06:53,Calm,29,20,,,11,2023-11-02T06:53:00Z
11-2-2023,05:53,W 3,30,20,,,11,2023-11-02T05:53:00Z
11-2-2023,04:53,Calm,30,20,,,11,2023-11-02T04:53:00Z
11-2-2023,03:53,Calm,31,19,,,11,2023-11-02T03:53:00Z
11-2-2023,02:53,W 5,32,19,,,11,2023-11-02T02:53:00Z
11-2-2023,01:53,W 3,33,19,,,11,2023-11-02T01:53:00Z
11-2-2023,00:53,W 5,35,19,,,11,2023-11-02T00:53:00Z
11-1-2023,23:53,S 6,33,19,,,11,2023-11-01T23:53:00Z
11-1-2023,22:53,Calm,37,18,,,11,2023-11-01T22:53:00Z
11-1-2023,21:53,Calm,40,17,,,11,2023-11-01T21:53:00Z
11-1-2023,20:53,W 6,40,17,,,11,2023-11-01T20:53:00Z
11-1-2023,19:53,NW 6,41,17,,,11,2023-11-01T19:53:00Z
11-1-2023,18:53,NW 10,41,19,,,11,2023-11-01T18:53:00Z
11-1-2023,17:53,NW 9 G 21,44,19,,,11,2023-11-01T17:53:00Z
11-1-2023,16:53,NW 8 G 21,48,18,,,11,2023-11-01T16:53:00Z
11-1-2023,15:53,NW 14 G 22,50,18,,,11,2023-11-01T15:53:00Z
11-1-2023,14:53,N 12 G 21,50,18,,,11,2023-11-01T14:53:00Z
11-1-2023,13:53,N 10 G 22,50,18,,,11,2023-11-01T13:53:00Z
